"a mouse and house
met a house and a mouse",
"I.
The pain behind my belly button seeps
Into my bending spine and fatigued hips,
Down straining glutes and lats. My hairline weeps
A fl ood of salty tears in streaming drips
Through open eyelids, causing joy in heaps
As I discern a case for water sips—
If my sharp vision’s compromised, it keeps
Me from performing planks. I close my lips
Around a bottle, and my body reaps
The sweet relief. It nearly purrs and fl ips
On to its front to soothe sore abs. It sleeps
Its tiny triceps, delts, and quadriceps.
But while it rests, my eyes (still drowned, I swear),
Start pondering the other bodies there.

II.
A woman, crouched upon a foam mat, thrusts
Her leg into the sweaty air, spandexed
From straining neck to foot, upturned and fl exed,
As her gaze rises, glancing at the gusts
Of broad men blowing through the door. She shoots
Her foot up higher, dipping back to lift
A padded chest, while the newcomers sift
Through hundred-pound barbells to look like brutes
As their veins pulse and grunts escape their throats.
With arms ballooning, they seem fi tting mates,
In mirrors beyond sliding, glass door gates—
The women, too, in Lululemon coats.
But of the quick heart rates and pumping thighs,
I wonder if all beat for other’s eyes.

27

III.
Two hundred tan pounds perform a French press,
Between a super-set of goblet squats
And steel-bar weighted lunges—I bench less
Than this guy hoists with a forefi nger. Thoughts
Of shame mixed with self-loathing make me force
Another aching set; one Russian twist
In and I’m dead, a failed try at his course—
Two blistered hands, two puff ed cheeks blushing, dissed
By dainty dumbbells; meanwhile he deadlifts
Like a Romanian, chest forward, eyes
That scour his form, then spot some minor rifts
In others, pouncing on the weakest guys.
We think we’re tigers, cloaked in stripes and smells,
But we’re just prey in jungles of kettlebells.",
"I saw a cumulonimbus
mosey through the neighborhood today!
It stopped for a break over the soccer fi eld.
It looked like the kind
from my science textbook,
in the section about the water cycle,
with arrows pointing towards and away.
Maybe the next time
I fi ll my cup from the tap
I'll drink my brother's tears,
or maybe some fi sh pee.",
"I.
Remember when you slipped your hand around
my waist, that elevator burned airy gold.
Every particle, dust and powder, just
hung, your hand suspended every sound
and I, still awkward, body young, found
myself content — new warm fi ngers
barely touching exposed skin. I looked
at your green eyes and you at mine,
the fl uorescent sky went starry— my stomach
danced like glitter bobbing on a sun-warmed
ocean. The metal doors glided clean
apart, they shuffl ed in, but you didn’t take
your hand away, warm fi ngers haven’t left me. II.
Never has there been warmth like this. Your eyes
like honey, run lengthwise along my skin.
They linger, heavy with sleep and viscous
with yellow lamplight, fl utter. Our shins
collide, tangle together. I wish
I’d mentioned more about my grandmother,
who loved beach sand and lemon slush, kisses
of sticky love. Our sun-colored fabrics,
the scent of yellowed books, worn spines, rainwater.
But I’d gone somewhere quieter, far
from there. I look through a telescope lens
untangle forests to fi nd your eyes, but they’re green
marbles, which glide farther from me. What if
I break the glass, will it drip with wild honey?",
"The odometer promised I’d come a long way
since I banged my head hanging the air freshener
over the rearview mirror and fi ddled to select
some preset radio stations, but for an instant
I felt like the girl who had just passed her driver’s test
and gotten grounded for hitting the mailbox
on the way home. The CD player divulged
its Greatest Hits and I tried to imagine
how much I would get for a gray sedan
that you could lose in an empty parking lot—
not as much as I had payed from
money I’d saved working two part-time jobs
to escape my full-time life.
I reached underneath the driver’s seat
for the stockpile of maps that had
never helped me fi nd my way
and my fi ngers closed on something else.
Sitting in my fi rst car for the last time,
I crumpled up the lottery ticket
I’d bought on my eighteenth birthday
and never bothered to scratch.",
"Forehead beads pearls of perspiration,
sallow cheeks.
He raises his tongue to taste the rot
turning over between twisted teeth,
permeating taste buds. Exhale
blooming with it.
Lip curled and crooked
festering on blistered gums.
Mouth dehiscent, then
It hangs there
hollow.",
"I’m walking across my back yard in the nighttime.
The fi eld slants hard here –– the trees surround
the gray grass and groan out towards outer space.
I’m caught panicked with headphones over my ears,
music dims the loosest vision of my eyes ––
I know I’m dreaming. But for a moment I can’t erase
the mist that rises like a man out of sleep,
coming to realize himself in the seconds he breathes.
The song’s playing from your phone, I know that now,
but I heard the trees swinging along with the band,
I heard the pine admit her voice, and I drowned
in all that vapor and gloss, limbs whipping ––
My sight spun to sound in those few moments asleep,
how do I trust a tree, not to scream?",
"The mists tumble ashore like empty aluminum
cans. Every weekend the same thing happens.
We slip through the throat beneath your windowpane
and sliver around the city. It lies low for us.
The buildings bow their heads and raise our shoulders ––
we are giants here, stalking through these brick streets
and decorating our world with palm prints and breathstains,
hunched into our bodies, your glasses kissed with skin.
If our worlds laid atop each other, you could see us ––
claiming each brick with footsteps, lighting low fl ames
we kiss into kindling and sustenance. We own the mist
as long as we keep our hair tangled, staticked.
When the ground forgets my footsteps and voice,
will you still know that I lived in your noise?",
"The cold forces heat inside of us,
and we force it out. What can we tear with our teeth?
You pour the mule again and hand it to me,
how many times have I watched you turn around?
We burn our bodies together against the radiator,
November crowds the streets and bullies us against
cinderblock walls and throats and spigots of sound,
we gnaw at each other’s teeth and our fi ngers tense.
Let the cold kill it all, let the centuries freeze,
hold your foot between my thighs while it lasts,
give the shuddering my name, and call that love,
let wicks fl icker and hair singe into the past.
When November calls me back into its palm,
look back on light, and make the dark your calm.",
"There’s something paradoxical about a winter-stricken ocean.

It’s craggy, moaning waves reminiscent of their summer counter-
parts,

Yet cognizant that something unknown and utterly drastic has
changed.
Hit me, and I’ll hit you back.
And you know they mean it.
Talk to me about the color red
And I will talk to you about the number fi ve, left hand turns, and
cats.
Talk to me about ideality
And I will try to write a poem explaining my ideal state.
Think nighttime.
Think Van Morrison, the smell of your mother’s Pinot Grigio
kisses,
The blood orange hue of your grandmother’s lipstick,
And the airiness of your father’s most genuine laugh.
Think of the feel of the tile on your best friend’s kitchen fl oor,
The smell of hay, two in the morning, and a slightly sunburned
nose.
Think of rooftops, hydrangea bushes
And the cool quiet of the antique store that you used to hate.
Talk to me about ideality
And I will talk to you about sitting beside someone on a beach in
the middle of the winter
Listening to the waves hush on to the shore
As they whisper about memories of a long lost friend.",
"When Chopin’s bland hands
Wrote music,
They wrote études,
Odd French entities with depth,
Not defi niton—
Their meaning was locked
Inside our fi rst piano
With strings and hammers.
Étude, in French, means study.
Webster was cruel
To ground great words
With ink blots.
I never pegged it for a study,
Not even when I twisted my face
At a note so high
It almost didn’t exist—
A puzzle or a parable
Or miracle;
A study it was not.
We are on our second piano now,
So glossy it shows me
My fi ngers when I play.
Behind the panels
Are a thousand strings,
Each straightening out
Some delicious mystery
All sorted—
The art of pronunciation,
Articulation,
Defamation.
I watch my hands grow old
In that brown mirror,
Showing my wrists,
Showing me words
In languages whose depths
I never touched—
Only believed in
When Chopin said
They might exist.",
"In Hebrew, my name means “my light”
It means knowing, It means
seltzer water. It is a muted blue,
a bluet, a raisin. It laughs
like the letter z. It starts sharp
and ends soft. It blooms
in the summer and never wilts.
in English, it means nothing
It is said in repetition, never
heard the fi rst time. It smells
like glue and rind. It holds
its sadness on its elbows.
It always leans. It forgets
that it can be a soft thing
for the tongue to hold.",
"does not happen in an instant, a magic moment, a fi rst glance. It
does not empty your breath, at least not all at once. It
happens on a long sleepless night, as you tumble
and rock on harsh waters because you
cannot unhear the peal of her laugh – you
are moved by it, like a call to prayer.
But do not stop up your ears
with wax now, sailor. Your Penelope awaits
and this ship needs a captain. So cry
“O strap me to the mast!” and watch your life fi ll
drop by drop until you overfl ow
and command your stupid, deaf men to cut you free.
The song not sweet, the melody minor – it
regardless remains, requiring no honey voiced poet, no bard
with electric lyre, it is sung everyday. It
is the thread woven into us – by holy loom crowned in needles.
Unlike light, you can’t see it. Unlike sound, you can’t hear it.
But unlike sound, it may fl y
through the vacuum of space, full of breath and rosy
about the cheeks. And, unlike light, you
feel it with your fi ngertips and with the raised hairs on your
arms.
It will take you: man, woman, lizard, or lawnmower
and fashion you into a Grecian hero
with body bronze, with benefactors divine or
you will die trying. In truth, it
is more like fl ying. But, it
is brighter than the sun and far hotter, the source
of something far better than light, good golly
they aren’t making wax strong enough these days,
haven’t for nigh 2000 years. So, perhaps you die
trying, with a smile on your
face. So what? Wasn’t it worth it?",
"this sweater holds me loosely. a hand me
down from my fi rst love’s sister and
normally she hugs me lovely but right now
i loop my fi ngers through chain linked
fencing that does nothing to stop the wind
from rushing through. my arms clamp to
my sides the back of my neck peeled and
white like a hard boiled egg my left hand a
rusty excuse for a metal limb heavy and
slow and i ache for sun on my face and
lemonade pouring out my ears and an
ocean fl irting with nose hairs but every
summer when i’m sweating my skin off
and my hair is sticky and my shoulders
peeling i wish for wind and winter and
crisp air in my lungs and walking indoors
to fall in front of fi re the burning wood
like pie crusts being folded into tin pans
and i think of home as my eyelashes
defrost and the hairs on my arms once
erect like soldiers begin to kneel begin
to honor the bitter cold the bitter sweet
the ice queen because winter strips us of
our sun so we remember he may live in
the sky but his home is in our bones.",
"Deep beneath his golden mane I felt
a marble of fat. It was harmless enough,
just a pocket of age within the hide.
But it grew to a golf ball, tennis ball, baseball
and then not a ball but a rotten grapefruit
with jaundiced rind splitting open.
When my mother got wind she found
the shears to cut around the mass,
up to its edges which hadn’t crusted.
—No it was more like red gelatin
more like sea egg anemone
more like biopsied brain.
Little tissue hung in bits
hemorrhaging through
my mother’s hands.
She stared at the sickness
like a surgeon
with no gauze or scalpel.
Just a tight shirt to wrap around
the dog’s dirty back.
But for all the heat compressions
curious remedies against the void,
he soaked the couches,
bled into embroidery,
into fi ne silk needlework.
He laid against white walls
and left crimson lines
which the poor thing would hide
looking down in shame
like he’d done something wrong.",
"And when it was all over
he wasn’t limp like the fi lms,
just shining and stiff .
My mother carried the body
out to the trunk of the car
but didn’t say a word.
She just locked herself up.
—And, how odd it was then
to see something that I knew
wasn’t temporary.",
"Spitskinned and naked, I pressed lips
over your chest and broke through.
We walked together through the heart,
chamber by chamber, aorta hung above
us like a bulging moon, pressed against
fake muscle and modelled viscera, plaster
thumps of a beating heart. I can still
feel your biceps in my fi ngers, how
I held your arm like the humid dark
grips a silo. Things fi t together, and
we bowed our heads to enter the atrium.
What calls me back to this, how do I
fall from my head into the caves of my
chest and watch you recede from me,
limb by limb, until I slip beneath the
fullness of you like a satellite beneath
its planet?",
"The staircase is fl ushed with mauve glow
so much that the blush of my cheeks is hidden.
He can smell junipers bloom on my lips
so I sip more of this perfume until
he takes
a step down
and I a step up.
My eyes pull at the corners of his mouth
inviting a smile that knows where to next.",
"I know my sister-in-law begrudges me
the time I get to spend with my nephew
while the state senate is in session
because she always mispronounces my name
like an obscure word when she drops
Arnold off . She looks just beside me
with eyes like dull pennies and poses
questions about work, as if making a living
producing crossword puzzles
for third-class newspapers had been
in my fi ve-year plan.
All I can aff ord is an apartment hardly
large enough to contain my reference books,
but it holds endless possibilities for
a kindergartner-turned-explorer.
He ventures out into the world while I box in
a four-letter word for directionless.
I’ve been staring out the window for fourteen
minutes when Arnold hands me his construction-paper
telescope and asks me to lift him up
so he can choose a new destination
on the wall map my harp teacher gave me
when I was accepted to medical school.
I scan through the pushpin places
as he considers his options
before jabbing a fi nger at Peoria, Illinois.",
"i think cigarettes
are much like the days themselves:
start good. kill you, though.",
"Cigarette swirls mingle
with cotton candy cumulonimbus
under the gibbous Idaho moon.
Truck-bed carnival rides
gleam white, like skeletons dancing
in a time before After-Life.
These autumnal indigo skies
swell, and tree branches cut up
a hollowed-out ether scratched with stars.
Nineteen years spent
inside-spinning, swing dancing
around languid lips, not yet kissed.
October’s “Colder Weather” brought
red motorbikes, ripping along yellow
centerlines. Pack of smokes bubble
nicotine pockets within aging lungs.
Grey Vans still missing after the fi nal
cannonball into counting to infi nity.",
"Born with apologies on your tongue
that fi ll your mouth like mounds of gauze,
blocking your song before it begins.
And besides, of what would you sing?
Of blood and hate and smoke
infected wounds that never heal
snakes that walk like men?
This is the lullaby you inherited with your fi rst honey-scented steps:
a history frayed and torn, mired in the deep sucking red clay.
Plug your ears squeeze your eyes lock your knees
but – something still breathes through the trees.
You feel it when you walk barefoot beside the riverbed
and the heavy wet air enfolds you.
Smell it in the clear unbroken blue overhead
and the juice of summer peaches sticky on your chin.
It is the melody of the cicadas and the mockingbirds,
the weeping willows and the wide yawning river.
The notes scrape your throat as you try to fi t your mouth around them.
This pride is poison; its heart rot in the dogwoods,
a boll weevil tearing into the cotton of your christening gown.
This place is your home.
What to do, oh what to do, with the fractured hymn
of the marsh nymph daughters of the South?",
"He never let it past his lips.
Or if he did,
he spat it.
A thick, tobaccoed tar
delivered begrudgingly.
Modeled by Dad:
a mind and mouth sealed shut
—storage units for dried
leaves and addiction
that crave dominance.
He unhinged himself with a skeleton key tongue.
Now he teaches other men
how to chew us up
to absorb the high
then spit the filth.",
"She considers a field and buys it;
Out of her earnings, she plants a vineyard.
Benny once stomped grapes
at my grandmother’s house,
rolled his pants above the ankle, purple feet
(They are clothed in scarlet)
and sticky floors;
sweet smiles and tart juice.
(She can laugh at the days to come)
Didn’t the wire and posts
hang with the ripe weight?
And one, round with sweet fl esh
split in the hot sun,
stained her fair fingertips
blood red
before she tossed it
into a cedar crate, heavy already
(her arms are strong for her tasks)
with summer’s fruit.
She is like the merchant ships,
bringing her food from afar.",
"Whenever I come home
And show my friends around
I eventually have to introduce
my roommate. He always
sits awkwardly on the couch
with a wave, not a word
and his heart-twisting grin.
And then, as always, I pull
my friend into the next room
and deface his existence.
I never tell people how he
wakes me every morning
at the crack of dawn, knowing
that I don’t like alarm sounds.
He cleans the whole apartment
the dishes, my clothes
even the shit that isn’t his.
Praise be anxiety. By god,
Isn’t he the worst wingman
on this or any other planet?
Always talking over me and
making me slap my tongue
like a jazzy hi hit in order to
keep him at bay. And as I am
shutting him up she is shutting
me down. So long has he done
this to me. So long have I been
with him that he has scratched
most of my skin cells off and
washed many of my taste buds
clean, cracking my lungs to break
them in and deepen my voice and
my desires. My roommate knows me -",
"Welcome to the land of plenty:
We have enough mental health to go around.
Please leave your shoes and cultures at the door—
someone will recycle them later.
Once you’ve started settling in,
your new neighbors (who may be spies)
will stop by with a pie. We recommend
you study the rules of our national pastime,
saying things we don’t mean.
Many of you may never have driven
a minivan or sued anyone or even
mispronounced your own name,
but we have faith you will come
to make our home a richer place.",
"During the day, I watch her kids,
the woman down the street
with the head like a broom,
who wears wooden clogs.
At night I bring drinks to men
who tell me that I’m stuff ed with
cinnamon and cloves, like
a cheap pastry. Men who tell me
I’m prettier than a greyhound bus.
I make my living so I can aff ord
the attic room, with the desk,
with space enough for the moths
in my heart to dance on the page
for a little while each night.
You know the place. The one
on Chestnut Street. Above
the corner store. The one
that blares bachata at night
and nothing in the morning.
The one where you can buy
fi ve warheads for a dollar.
I say Hello to the men when
I pass. You know the men.
The ones who sit on lawn chairs
outside and smoke cigars. But
I don’t stay, and I keep my words
to myself - they bubble behind
my eyes like little fl utes.
I make my living for them.",
"I know you don’t hear this often, but I love you.
Watching you fall down, down, down from the grayness when I was fi ve,
Your timely arrival causing a grin to spread across my face:
“Quick! Grab your rain boots!” and out into your presence to search for bugs.
Salamanders, rollie-pollies, the occasional beetle, and the unwelcome worm.
I called you ugly once, but I didn’t mean it,
I actually think you’re quite spectacular—really.
Paris, boats in the middle of the ocean, little apartments with old windows
That have seen more than the oldest turtle there ever was—
Rumor has it they take their sweet time kicking the bucket.
Shame, you sighed.
And you didn’t have to tell me why because I knew—
Always cursing the chemistry of things.
Howling into the night you asked me why it was:
Why is it, you questioned.
Why is it that I am apart when I fall, and crash to come back together again?
Looking at me with your eyes full of tears, and a little something that tasted like love.
You knew I had no answer to boast of
So you walked on.
And alas, you’re condemned,
Or at least that’s how you see it.
But I must say,
You sure do look nice when you fall down, down, down from the grayness
Behind a girl in a sky-blue skirt
Eating a red delicious apple that tastes like sadness.",
"Electrical wires climb brick
like ivy, tendrils wrap
corners into damp rooms.
Last night's rain still
drips from drains,
pondered by smoker,
ash in oil-slicked puddle.
Birds bathe, compete with Haydn
violin arpeggi drifting through
open windows.",
"I am somewhere between Portland and the moon,
and this bourbon is for the taste.
It is smooth
up here with the pressure low,
so quiet a cabin could explode. The stewardess
shoves my note inside her pocket,
no, have a look
I urge her.
She reads the ransom in cursive,
unfurls its dollar sign tendrils, terrible
and tempting—money that is neither mine
nor hers. In my lap
is a box of wired sticks.
When the woman in red returns
she holds a banker’s sack,
heavy as a body bag,
which I claim as my own.
I drag it down the aisle
to the airplane cargo stairs
and wade into the night’s surface.
I jump because I am heavy.
I leap to feel myself sink,
to know my own weight.
—I fall because it is free.
It is the parachute of desire that carries me,
soaring through tattered bills that come loose and spin
like propellers. This is the windfall
of boldness that they write about
with awe.",
"Some imagine me drowned
in the lake, sent from the river to the sandbar.
Others picture me on Mount St. Helens,
killed by the eruption.
But many believe the newspapers,
D.B. Cooper, Still Among Us.
They wonder if guilt will drive me to the station,
to some miserable,
bored cop
(my anagram enemy)
—myself from another life.
They search the headlines for new suspects,
never caring for the what, but always the who.
Reader, the who is on a street
in Tacoma, miles north of the landing.
Turn around every black trench coat
and you’ll fi nd the faces you’re seeking.
And when you wander over to the telephone pole
to see the Wanted posters pinned with tacks,
do not gasp when you recognize the mug shot
as your own.
We carry the briefcase and fi lch our loot
as the bank tellers watch,
wearing our masks like counterfeit.",
"St. Anthony’s tongue collects
dry air in Padua, Italy.
Quiet in its glass display case
embedded in a golden wall, people
wait in a line to pass by it,
brown and shrunken.
They are narrowed-eyed; goose bumps
rise like voices to the cathedral ceiling.",
"In Venice, I learned that wealthy cities
once divided up the saints
like land or gold, body
parts pawned like sapphires.
I do not pray to the jewels in San Marco,
nor the tomb that is said
to hold Saint Mark’s bones, but there is a rock
where Jesus might have prayed. It seems
a more likely spot for heaven’s hands
to reach down, linger. I kneel
before it, warm fi ngers on the cool
stone. Stained glass scatters green light
on my cheek. I smell oil and smoke and God
is warmer than these raw remains.",
"At my grandfather’s memorial mass, the priest holds up
a framed lock of the Virgin’s hair. Just how much
hair did Mary have? And if she had enough
to give to this little
Massachusetts church, nestled
in piney woods, wouldn’t she
have wanted it burned? Tossed to the earth
for tree root and grass seed to bury it? Tell me, Mary,
can I fi nd your holiness in a dead thing?",
"Last week I gave some of Gramp back
to his garden, took a chalky handful from the blue box
and in the place where I once pried squash from the grips
of vine, tossed the gray powder that was once
Gramp, watched the wind lift it just a moment, hovering
like a whisper, before it fell
to the kind earth.",
"I duck into the dark, refuge from the sultry Andalucía sun.
The solitary bubbling fountain, for ablutions, calls me
to prayer, but I do not belong here,
in this spare, sacred space: I am not one of you.
I stand amid all the excesses of the Alhambra, the soaring towers
and lions carved in loopholes, but they are too far removed from
themselves to catch in my throat
as this room does. The manicured shrubbery
and spiraling paths to secret gardens of the Generalife,
marble-flowered fountains and Washington Irving echoing
across Granada from above, a maze of white-bleached buildings –
these places do not cry out with the ghosts of Al-Ándalus
as this, little temple, little forgotten Jannah,
too insignificant to be preserved or destroyed,
left behind for the ever-spilling water to erode the painted diamonds
on these once-brightly decorated floors.
For a few minutes, I might be there, here
centuries ago but so exotic as not to be España,
as if the nation did not exist before 1492, had been conceived
in the carnage of los Reyes Católicos, born in a haze of pomegranate
colored blood, de la sangre pura por supuesto, and baptized
in the soaring Capilla Real, at the altar
where Santiago stampedes atop Moorish
skulls, loping the heads off of infidels as if they were dragons.
This sanctuary stands in spite of such things,
in spite of its civilization’s fall, a testament
to what might have been while I, ignorant visitor,
un mozárabe, so to speak, have only a few moments
before España returns, in the form of other tourists
and I, suddenly intruder, step backwards out of the vanishing
Albaicín, and turn my back on the temple for the Granada sunlight.",
"I wake up in Pennsylvania—again!—like a clementine,
peeled of my skin and only half-eaten, such a dutiful
son. Strange beasts, hometowns (plants, really, unmoving
roots, heh) with the girl from twenty-five dates ago leaving
a sweater in my mother’s fridge as if that makes us,
well, us, and us wonderful. Money’s good as sand
here, with everyone doling out bagels for free
because they know my father—handsome eyes yours, yes,
like his—as if he’s dead, but he’s just at work, home
in time for dinner always. Like when I was a real
boy, nose exceptionally short, so little to hide. Now?
My skin falls off even without questions, though
slowly: Bike ride around town smells of thunder, fast
pedal, and even that’s not enough to drag it all away.",
"The wine I’m pouring you
is 300 odd days old;
I tell you it’s a nouveau
and hope you’re ignorant enough
to fall for my tricks.
I thought by now the sky’d
be blushing, full of soft pinks and periwinkles.
Instead the sun still blares rustic yellows,
and the white lace you’re wearing
looks fatigued, worn by vintage tints.
You’re getting bored, and I’m getting tired
of you not giving in
to the placebo alcohol
like me. It makes you prettier,
but it makes me critical:
Your legs are long, but
your knees are wrinkly.
Your skin is golden, but
only because the sun is out.
Your mind is vast, but
only because it’s empty.
Finally, you start submitting
to the sun’s angry glare
and you fall back on your elbows,
your knees standing up
your dress slipping down
and me feeling anxious as ever, puzzling over
body language.
Now my mind is boggled
with questions, THC, and cheap liquor;
you’re quiet and I’m shooing mosquitos, confused
by my bitter beverage.",
"You won’t give me anything,
so I’m getting madder.
Your lip droops and your head tilts
back, like the gravity is heightened;
You’re so pretty I could die;
You’re so boring I could kill you.
The sun, too, starts to droop,
so your skin starts to lose its glow.
I’m trying to tell you how I feel
through body language, my eyes
cutting straight through your thin skin,
but I’m not making myself clear.
Finally, the sky is a violent violet,
erratic with streaks of sanguine, but
mellow with blotches of warm maroon.
It’s dark enough to see how mundane
you really are. You really are nothing
but a plain white dress.
My chapped lips still dripping, I try
to paint your cheeks and smear
your neck, body language telling you
to wear more red.
That way,
if the glass in my hand
slips, I won’t feel so bad
about staining your dress.",
"Her sugar-glazed eyes
Gaze out,
Their colors leaking into
Pools of dark purple
Underneath her skin.
To fill her hollow belly,
She gapes her mouth
And gobbles air,
Gulps and swallows whole
The growing gaps
And swelling space.
She licks up worried
Looks and smacks
Her lips, cracked and
Sticky from the
Syrupy taste
Of their stares.
Then she turns and
Slinks away, back into
The black and murky
Cave where she resides,
Pipe-cleaner legs bending
Under the weight
Of her own shadow.",
"Is human misery worth
so little that you weigh it by task, one
lion for my wife’s wide-eyed uncomprehending,
an Amazonian absurdity
for my anguished children? No, not all
of Olympus, no number of labors can undo
what Hera has made me do.
Only the depraved know how it feels to grasp vast
hands about a hesitant white neck, can read meaning
in the inelegant twitch of a lover’s eyelashes.
Only the most unworthy can foretell
the future: their own damnation. God
or not, I tremble now. Would you but send
a worthy adversary, a competent conqueror, that I might lose
myself in the act of it: in the thrusting
of spears, the clangor and clamor of stone and flesh,
unarmored and pregnable before certain death, until I beg
him to tear me apart and adorn himself
in my vile viscera. I deserve nothing more.
Only spare me the close of these twelve tasks: I know not
what may become of such a man, still unpunished,
indestructible and iniquitous, if not intentionally so,
whose every guilt-ridden organ throbs
with memory of Megara, the way her dark hair curled
about my fingers as I killed her.
You petty puerile deities, you grasping gods, without
thought enough to consider the consequences
of making man with sinews like Apollo’s bowstring
and strength enough to split mountains across a strait,
all without the self-governance that should attend such skills.
I have inherited my father’s force without Alcmene’s acumen;
like their tryst, I am all divine vitality, devoid of prudence.",
"I am no god. I admit that much plainly;
rather, a pawn by which you contend for Mycenae or worse,
a watchful wife’s plaything. Do I satisfy your lust
for monstrous blood? There is no other reason to kill
boars and birds and other beasts; this carnage does nothing
to sponge out that which I have already carried out.
Is that all I am, a bringer of destruction to be passed around
from king to god and back again, my self reduced
to blood and battles that are not my own? Strip away my
Nemean skin; I do not want it.
I am no man, merely a spear and strangling hands.",
"Never has there been warmth like this
cozied among sheets and shins.
Your eyelids, lingering like honey
running lengthwise along my sandy strands,
have begun to flutter, heavy with sleep and
viscous with dim lamplight,
calling to my memory your mention of the color yellow.
I should have told you more about my grandmother,
who loved sun-colored fabric, foxglove flowers,
and chose lemon slush on days by the sea.
I should have described the scent
of yellowed pages on rainy mornings,
and the faraway places stitched into worn spines
that called me so fiercely
to lush hillsides and ancient cities.
Never have words been so infinite:
waiting on my tongue to be uttered,
ready in my heart for stories of you.",
"This city is a dessert surrounded by desert
whose tendrils ensnare and inspire fear
into the hearts of men. Its belly will digest you alive.
If I sit on the geysers outside the Bellagio would they shoot me into the
night sky?
Chip stack dwindles, the waitress disappears.
If the legs are truly special, nobody remembers the skirt.
I take an elevator back to my room,
collapse in the seventh floor hallway
and miss the sunrise peeking over the mountains to the east.",
"Inside the diner fluorescent lights glared down on us,
Their faulty buzzing audible
Since the jukeboxes were fake anyway
In a patched up vinyl booth, one of those places
Striving for a rose-colored version of the 50’s and falling short.
Before I could wonder why it looked so familiar, you asked
If I was going to get the chicken soup again, because that’s what I did
When we were fourteen...
Fingers traced lines through spilled table salt,
Granules stuck to skin and I
Strained my eyes to count them,
Anything
To see without seeing
That we’re not those kids anymore.",
"He made me feel very much
like how it must feel to be
the last eaten in a basket of fries—
piping hot because there I was
among a mass that
he looked upon longingly,
but growing colder and losing that
oily, appetizing sheen as his
fingers graze past me each time
closing around and deciding upon
a multitude of ways I could be
better. Perhaps he wanted me
taller, more slender, of a lighter
or darker complexion. Perhaps
he wanted me with something
melted over top so he could forget
it was still me under it all.
Whatever it was that left me there
at the bottom of the basket,
undevoured every time.",
"I was not raised here, but I remember the rooms.
I raced across the tile entryway with the cousins
until the grandfather clock shook
and the grandfather yelled and we
stopped, scared
by the Parkinson’s shake of his voice, scared
that the grandfather
clock would fall and shatter.
Grandmother was always eager to pick up the ring
of the kitchen telephone. She would walk
as far as the cord-tether allowed.
Her lonely ear listened as
dinner went cold on the stovetop.
German ancestors hung in the hall,
glaring from rusted frames. They
were told not to smile and I
was shy to smile back.
I drew in the dust on the piano keys
where it fell in the living room:
plunking but not playing
imitating but not knowing.
The hospice bed interrupted the bedroom
and replaced the ocean bed where I
used to curl up in the waves of blankets,
in the lull of bedtime stories.
The house hushed. There was a certain
silence to his death, a pause when there was no
one to wind the clocks, no pulse to
govern the great glass tick in the entryway.
Winter moved in to muffle mourning and
the black car stalled stark
against ashen white snow.",
"Upstairs, I was supposed to be sleeping
but I was listening to the adults,
downstairs and drinking.
Their voices carried up the stairs,
lit by wine and bourbon.
I listened and I waited
to grow up to them, to
become one of the lit voices.",
"Feeble, bloody heart flopping on the floor like a fish,
pit-pat, pit-pat,
and the baby is raw red, crying in the sink,
outside clear-glass, dark gray sky,
salt, iron and blue-black smears.
Shhh.",
"Over the sunrise on a Monday morning,
a yellow cardinal sits atop the church cross.
The sun’s golden rays coat his feathers
as the chilling wind sweeps the streets clean.
The yellow cardinal sits atop the cross,
singing the song that will ring a sinner’s heart,
as the chilling wind sweeps the streets clean
in a language coded in melodious charm.
Sing the song that will ring a sinner’s heart
and watch Adam on the stained glass cry
in a language coded in melodious charm.
Someone’s singing a love song somewhere.
Watch Adam on the stained glass cry
and the Son’s golden rays coat his skin.
Someone’s singing a love song, somewhere
over the sunrise on a Monday morning.",
"It rained for years and years
And then it rained again.
And—it rained.
It rained on the flowers
And it rained on the leaves
And it rained some more.
It rained so much that the plants
Fell into a grey bark sleep.
I got inside of the rain
And watched from the firmament,
Which was an expansive, glassy plate
Lined with icy shards.
The gods of Genesis were there
Making the rain.
Some of them were drooling saliva
And others did Tai-Chi in the watery chaos
And they made the water float in the air,
Bound by no container but their fluid wills.
It rained across the entire United States—
Hawaii and Alaska were not spared.
It also rained in Mexico and Canada
On Mexicans and Canadians inside of them.
It rained on the wildflowers of the Sierra Nevada,
Which I have never seen
And it rained in the Arizona desert
And somehow it rained on my dead grandmother’s dog, Shadow,
Whom I have also never seen, in upstate New York.

He was standing on a mossy green brick when the rain hit him.

The rain covered the earth
With the thick mud-like substance
Composed of rain and molecules",
"Until the sphere was encapsulated
By the uterine sack of rain.
I passed through the membrane of the rain
And gazed with eyes saturnine
At it.
It also continued to rain.
We stayed inside
Playing Monopoly and eating popcorn
And the weatherman said it would certainly rain.
We stayed inside longer,
And sat around the oven
Baking delicious brown steam.
I was very proud of the rain,
So walked outside the inside realm
And I thanked it and worshipped it
And stood in awe of it
And I climbed up high to get closer to it.
It was a joy to be wet in the rain.
It was a joy to remove great muddy boots and wet socks
And lay them atop the heater to dry.
It became darker and rained harder and deeper into my mind
And I slept for days and days.",
